Unnamed: 0,xuhao,author,content,zan,zhuanfa,pinglun,public_time
0,1,荒凉的现实4,:#2020年全国高考延期一个月举行##高考确认延期一个月#当然是喜了，多一个月准备多一分胜算,0,0,0,04月30日
1,2,辽视说天下,:【#辽宁#省确定2020年普通高校招生考试相关时间】按照国家统一部署，今年辽宁省高考延期一个月，考试时间安排为7月7日至9日举行。辽宁省普通高校招生外语口试时间安排为5月上旬开始，5月底前完成。高考体检工作时间安排为5月上旬开始，6月中旬前完成。普通高校体育专业省统一考试时间安排为5月18日至31日。职业教育对口升学考试文化课统一考试时间安排为7月11日至12日，专业综合课和技能考试由相关高校安排并发布。高职院校单独招生考试时间安排为9月26日进行。原定7月中旬举行的普通高中学业水平合格性考试调整为秋季开学后进行（9月份）。http://t.cn/A6AGvGff,1100,74,228,04月30日
2,3,葫芦岛乐享生活,:#葫芦岛乐享生活#4月29日，2020年辽宁省普通高校招生考试工作部署视频会议召开。会议明确今年我省高考有关工作安排，动员各方面齐心协力、密切配合，按照“健康第一，安全第一，公平第一”的要求，切实做好新冠肺炎疫情形势下我省高考各项工作。2020年全国普通高等学校招生统一考试延期一个月举行，考试时间为7月7日至8日。省教育厅、省招考办按照教育部和我省相关工作要求，研究制定了我省新冠肺炎疫情下高考相关工作方案。基于我省普通高中高三年级已经复课复学，运行总体平稳。综合考虑我省高考工作各环节实际需要、考点实际情况以及考生备考需要，平衡各类相关招生考试时间节奏等各方面因素，我省确定了高考工作时间安排。1. 普通高校招生外语口试时间安排为5月上旬开始，5月底前完成。2.高考体检工作时间安排为5月上旬开始，原则上6月中旬前完成。3.普通高校体育专业省统一考试时间安排为5月18日至31日。4.高考统一考试时间安排为7月7日至9日。5.职业教育对口升学考试文化课统一考试时间安排为7月11日至12日，专业综合课和技能考试由相关高校安排并发布。6.高职院校单独招生考试时间安排为9月26日进行。7.原定7月中旬举行的普通高中学业水平合格性考试调整为秋季开学后进行（9月份）。8.有关特殊类型招生工作时间安排（包括：艺术类校考，运动训练、武术与民族传统体育文化课考试和高校高水平运动队专业文化课考试等）按照教育部、国家体育总局和有关高校安排执行。【文章内容来源：人民日报，如有版权方请联系删除】,0,0,0,04月30日
3,4,大将55,:#腾讯新闻#2020年全国高考延期一个月举行，考试时间为7月7日至8日http://t.cn/A6A4yH3q来自@腾讯新闻,0,0,0,04月30日
4,5,东北新闻网,:【辽宁确定2020年普通高校招生考试相关时间】4月29日，记者从2020年全省普通高校招生考试安全工作电视电话会上获悉，按照国家统一部署，今年高考延期一个月，考试时间安排为7月7日至9日举行。辽宁省普通高校招生外语口试时间安排为5月上旬开始，5月底前完成。高考体检工作时间安排为5月上旬开始，6月中旬前完成。普通高校体育专业省统一考试时间安排为5月18日至31日。职业教育对口升学考试文化课统一考试时间安排为7月11日至12日，专业综合课和技能考试由相关高校安排并发布。高职院校单独招生考试时间安排为9月26日进行。原定7月中旬举行的普通高中学业水平合格性考试调整为秋季开学后进行（9月份）。有关特殊类型招生工作时间安排（包括：艺术类校考，运动训练、武术与民族传统体育文化课考试和高校高水平运动队专业文化课考试等）按照教育部、国家体育总局和有关高校安排执行。http://t.cn/A6AUcD70,1,1,0,04月29日
5,6,仙妙公子,:《速看！2020年全国高考延期一个月举行，考试时间为7月7日至8日》速看！2020年全国高考延期一个月举行，考试时间为7月7日至8日http://t.cn/A6ZaqaEa,0,0,0,04月29日
6,7,辽视第一时间,:【辽宁确定2020年普通高校招生考试相关时间】4月29日，记者从2020年全省普通高校招生考试安全工作电视电话会上获悉，按照国家统一部署，今年高考延期一个月，考试时间安排为7月7日至9日举行。辽宁省普通高校招生外语口试时间安排为5月上旬开始，5月底前完成。高考体检工作时间安排为5月上旬开始，6月中旬前完成。普通高校体育专业省统一考试时间安排为5月18日至31日。职业教育对口升学考试文化课统一考试时间安排为7月11日至12日，专业综合课和技能考试由相关高校安排并发布。高职院校单独招生考试时间安排为9月26日进行。原定7月中旬举行的普通高中学业水平合格性考试调整为秋季开学后进行（9月份）。有关特殊类型招生工作时间安排（包括：艺术类校考，运动训练、武术与民族传统体育文化课考试和高校高水平运动队专业文化课考试等）按照教育部、国家体育总局和有关高校安排执行。http://t.cn/A6AUcD70,4,0,7,04月29日
7,8,光明日报,:【#辽宁公布高考相关工作时间安排#】4月29日，辽宁明确今年高考有关工作安排，2020年全国普通高等学校招生统一考试延期一个月举行，考试时间为7月7日至8日。高考工作时间安排如下：1. 普通高校招生外语口试时间安排为5月上旬开始，5月底前完成。2.高考体检工作时间安排为5月上旬开始，原则上6月中旬前完成。3.普通高校体育专业省统一考试时间安排为5月18日至31日。4.高考统一考试时间安排为7月7日至9日。5.职业教育对口升学考试文化课统一考试时间安排为7月11日至12日，专业综合课和技能考试由相关高校安排并发布。6.高职院校单独招生考试时间安排为9月26日进行。7.原定7月中旬举行的普通高中学业水平合格性考试调整为秋季开学后进行（9月份）。8.有关特殊类型招生工作时间安排（包括：艺术类校考，运动训练、武术与民族传统体育文化课考试和高校高水平运动队专业文化课考试等）按照教育部、国家体育总局和有关高校安排执行。（光明日报全媒体记者刘勇）,1233,361,248,04月29日
8,9,花无缺小鱼666,:转发辽宁日报微信版#高考##高考确认延期一个月##高考倒计时#刚刚！辽宁公布高考相关工作时间安排辽宁日报  今天2020年全国普通高等学校招生统一考试延期一个月举行，考试时间为7月7日至8日。省教育厅、省招考办按照教育部和我省相关工作要求，研究制定了我省新冠肺炎疫情下高考相关工作方案。基于我省普通高中高三年级已经复课复学，运行总体平稳。综合考虑我省高考工作各环节实际需要、考点实际情况以及考生备考需要，平衡各类相关招生考试时间节奏等各方面因素，我省确定了高考工作时间安排。1. 普通高校招生外语口试时间安排为5月上旬开始，5月底前完成。2.高考体检工作时间安排为5月上旬开始，原则上6月中旬前完成。3.普通高校体育专业省统一考试时间安排为5月18日至31日。4.高考统一考试时间安排为7月7日至9日。5.职业教育对口升学考试文化课统一考试时间安排为7月11日至12日，专业综合课和技能考试由相关高校安排并发布。6.高职院校单独招生考试时间安排为9月26日进行。7.原定7月中旬举行的普通高中学业水平合格性考试调整为秋季开学后进行（9月份）。8.有关特殊类型招生工作时间安排（包括：艺术类校考，运动训练、武术与民族传统体育文化课考试和高校高水平运动队专业文化课考试等）按照教育部、国家体育总局和有关高校安排执行。http://t.cn/A6Ay1Uiq,1,0,0,04月29日
9,10,写手清龙,:教育部高校学生司司长王辉介绍，2020年全国高考报名人数为1071万。今年高考延期一个月举行，这1071万考生的命运将会如何？今天就让我们一起分析一下。1000余万人参加高考，600万人无缘本科，200万人被直接淘汰！上大学不难，但是上个好本科还比较难，上重点本科更是难上加难！根据教育部公布的数据，2019年全国高考报名考生人数达到1031万人。就各省公布的本科录取率来看：2019年高考，50%以...http://t.cn/A6Ay8cQO,0,0,0,04月29日
